timestamp,gesture,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0,circle,-0.91,-0.25,0.33,3.48,2.50,-12.94
1,circle,-0.91,-0.26,0.32,3.05,2.62,-14.59
2,circle,-0.91,-0.27,0.31,2.32,3.66,-16.72
3,circle,-0.92,-0.27,0.32,1.22,5.13,-18.74
4,circle,-0.93,-0.26,0.33,0.18,6.41,-20.32
5,circle,-0.94,-0.26,0.35,0.18,6.96,-20.87
6,circle,-0.95,-0.27,0.35,5.74,7.75,-18.98
7,circle,-0.96,-0.29,0.35,9.16,8.67,-18.86
8,circle,-0.97,-0.31,0.35,11.35,9.52,-21.12
9,circle,-0.98,-0.32,0.36,12.15,9.64,-25.88
10,circle,-0.99,-0.32,0.38,12.15,9.09,-32.35
11,circle,-1.00,-0.32,0.37,11.54,8.30,-39.55
12,circle,-1.01,-0.29,0.32,10.25,8.06,-46.57
13,circle,-1.02,-0.27,0.30,8.12,8.42,-52.92
14,circle,-1.03,-0.25,0.29,5.68,9.77,-58.47
15,circle,-1.05,-0.23,0.30,3.85,12.02,-62.99
16,circle,-1.06,-0.20,0.29,3.66,14.65,-66.83
17,circle,-1.07,-0.17,0.28,4.15,17.76,-70.31
18,circle,-1.08,-0.15,0.27,3.97,21.85,-73.36
19,circle,-1.09,-0.12,0.27,3.54,27.47,-76.05
20,circle,-1.11,-0.07,0.30,5.19,41.26,-79.10
21,circle,-1.15,-0.01,0.34,7.81,45.04,-79.59
22,circle,-1.19,0.04,0.37,10.44,45.96,-79.10
23,circle,-1.23,0.09,0.40,10.99,44.19,-78.00
24,circle,-1.27,0.13,0.41,9.52,41.20,-78.25
25,circle,-1.34,0.19,0.41,6.04,39.06,-82.09
26,circle,-1.34,0.21,0.40,0.67,38.45,-88.68
27,circle,-1.30,0.24,0.39,-5.68,39.61,-94.73
28,circle,-1.26,0.29,0.40,-10.38,43.21,-97.53
29,circle,-1.22,0.34,0.45,-10.01,48.89,-96.50
30,circle,-1.18,0.38,0.53,-7.14,53.65,-93.75
31,circle,-1.13,0.43,0.61,-8.06,54.87,-90.64
32,circle,-1.09,0.46,0.65,-13.79,53.59,-86.55
33,circle,-1.05,0.49,0.65,-29.24,52.12,-77.03
34,circle,-1.01,0.52,0.67,-35.89,52.00,-73.30
35,circle,-0.97,0.56,0.79,-41.75,47.79,-68.85
36,circle,-0.93,0.65,0.94,-43.52,36.93,-61.04
37,circle,-0.88,0.71,1.01,-40.28,21.97,-49.99
38,circle,-0.83,0.72,0.96,-37.84,7.93,-39.37
39,circle,-0.68,0.68,0.70,-40.10,-0.73,-31.98
40,circle,-0.58,0.69,0.61,-46.75,-2.69,-27.83
41,circle,-0.47,0.69,0.53,-56.95,1.10,-24.72
42,circle,-0.38,0.67,0.47,-70.01,9.34,-20.75
43,circle,-0.30,0.64,0.42,-82.21,20.57,-14.28
44,circle,-0.22,0.59,0.37,-87.34,33.20,-4.39
45,circle,-0.16,0.54,0.36,-81.85,46.51,7.81
46,circle,-0.11,0.49,0.39,-67.69,59.69,20.20
47,circle,-0.08,0.43,0.48,-31.74,77.58,36.38
48,circle,-0.04,0.38,0.62,-18.19,76.90,38.21
49,circle,0.02,0.35,0.73,-10.38,70.01,38.76
50,circle,0.09,0.34,0.76,-12.21,60.85,41.14
51,circle,0.15,0.34,0.71,-28.81,54.20,45.65
52,circle,0.23,0.26,0.50,-58.17,52.92,50.78
53,circle,0.25,0.13,0.41,-88.68,57.31,55.11
54,circle,0.25,0.01,0.36,-106.45,65.80,57.62
55,circle,0.25,-0.08,0.32,-102.60,74.95,59.94
56,circle,0.22,-0.25,0.22,-49.68,85.88,72.20
57,circle,0.18,-0.31,0.31,-28.32,87.34,78.25
58,circle,0.12,-0.34,0.47,-19.47,81.60,82.28
59,circle,0.07,-0.40,0.56,-19.53,44.80,83.80
60,circle,0.03,-0.50,0.51,-30.27,28.44,78.86
61,circle,0.01,-0.60,0.37,-48.89,23.32,69.46
62,circle,-0.02,-0.69,0.25,-66.65,30.03,59.33
63,circle,-0.06,-0.74,0.21,-74.65,45.23,53.47
64,circle,-0.12,-0.78,0.25,-68.73,64.09,52.80
65,circle,-0.26,-0.88,0.50,-52.43,82.40,54.81
66,circle,-0.36,-0.91,0.69,-33.08,96.62,56.15
67,circle,-0.45,-0.88,0.86,-13.92,103.52,54.14
68,circle,-0.51,-0.82,0.95,2.56,102.48,48.71
69,circle,-0.55,-0.78,0.97,10.07,97.66,42.18
70,circle,-0.60,-0.75,1.01,5.86,94.06,37.35
71,circle,-0.67,-0.75,1.09,-3.17,92.16,36.62
72,circle,-0.75,-0.78,1.16,-1.34,82.70,42.72
73,circle,-0.84,-0.82,1.17,9.52,78.25,41.14
74,circle,-0.93,-0.84,1.15,19.29,79.04,32.41
75,circle,-1.00,-0.81,1.15,23.32,84.66,17.52
76,circle,-1.06,-0.68,1.21,20.45,88.07,0.98
77,circle,-1.09,-0.47,1.33,13.85,82.64,-11.29
78,circle,-1.13,-0.12,1.47,9.46,70.56,-13.67
79,circle,-1.19,-0.10,1.45,13.55,57.80,-3.97
80,circle,-1.26,-0.19,1.40,29.97,45.72,11.29
81,circle,-1.32,-0.29,1.33,55.97,35.52,21.18
82,circle,-1.34,-0.34,1.23,82.58,30.64,21.00
83,circle,-1.30,-0.32,1.16,100.04,31.49,11.90
84,circle,-1.26,-0.25,1.13,102.11,33.14,-3.36
85,circle,-1.26,-0.13,1.18,88.38,31.07,-21.48
86,circle,-1.27,0.01,1.26,37.48,12.82,-52.67
87,circle,-1.29,0.09,1.30,20.39,-2.50,-60.79
88,circle,-1.32,0.14,1.28,19.53,-20.14,-64.15
89,circle,-1.33,0.17,1.20,33.51,-38.33,-64.15
90,circle,-1.31,0.24,1.10,53.16,-52.73,-62.26
91,circle,-1.26,0.35,0.91,67.32,-59.69,-59.20
92,circle,-1.24,0.35,0.85,72.20,-61.28,-57.56
93,circle,-1.22,0.31,0.77,72.02,-59.81,-59.75
94,circle,-1.18,0.27,0.74,70.68,-55.11,-65.00
95,circle,-1.09,0.30,0.81,73.85,-46.39,-76.11
96,circle,-1.05,0.34,0.87,79.71,-48.10,-79.41
97,circle,-1.02,0.39,0.90,83.50,-62.19,-81.54
98,circle,-0.98,0.43,0.88,75.62,-72.39,-82.76
99,circle,-0.93,0.45,0.81,60.18,-80.81,-85.57
100,circle,-0.88,0.44,0.73,37.54,-83.62,-91.06
101,circle,-0.85,0.43,0.69,11.54,-80.14,-98.33
102,circle,-0.84,0.45,0.71,-9.83,-73.85,-104.19
103,circle,-0.81,0.54,0.78,-20.81,-68.66,-104.86
104,circle,-0.78,0.59,0.76,-22.28,-66.65,-99.30
105,circle,-0.74,0.63,0.71,-18.62,-67.14,-90.03
106,circle,-0.70,0.69,0.66,-14.28,-68.24,-79.71
107,circle,-0.66,0.78,0.62,-9.95,-69.15,-69.15
108,circle,-0.61,0.88,0.57,-4.88,-69.95,-57.31
109,circle,-0.56,0.94,0.53,-1.04,-69.82,-44.19
110,circle,-0.51,0.94,0.50,-3.36,-66.41,-31.98
111,circle,-0.46,0.91,0.52,-35.40,-43.40,-16.72
112,circle,-0.42,0.86,0.59,-53.28,-27.47,-10.38
113,circle,-0.39,0.81,0.69,-61.89,-14.10,-1.83
114,circle,-0.37,0.76,0.79,-59.45,-7.69,9.03
115,circle,-0.34,0.72,0.86,-48.77,-9.09,21.55
116,circle,-0.26,0.67,0.85,-33.51,-15.32,35.10
117,circle,-0.22,0.63,0.78,-17.64,-21.85,47.42
118,circle,-0.18,0.57,0.71,-6.77,-24.96,55.05
