timestamp,gesture,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0,shake,-0.88,-0.02,0.43,1.04,-0.37,0.12
1,shake,-0.88,-0.02,0.43,2.01,-0.49,0.49
2,shake,-0.88,-0.03,0.43,3.30,-0.43,0.92
3,shake,-0.89,-0.03,0.43,4.33,-0.12,1.34
4,shake,-0.90,-0.04,0.44,5.25,0.49,1.89
5,shake,-0.90,-0.04,0.45,6.23,1.22,2.56
6,shake,-0.91,-0.04,0.47,8.91,1.46,4.33
7,shake,-0.91,-0.04,0.47,11.84,0.73,5.86
8,shake,-0.91,-0.04,0.47,16.17,0.31,7.51
9,shake,-0.91,-0.04,0.46,21.06,0.73,8.24
10,shake,-0.92,-0.01,0.46,26.00,1.89,6.96
11,shake,-0.94,0.04,0.48,31.43,3.42,3.48
12,shake,-0.99,0.31,0.58,36.38,4.64,-0.55
13,shake,-0.99,0.51,0.67,38.21,4.70,-1.95
14,shake,-0.96,0.67,0.74,35.34,3.36,2.50
15,shake,-0.93,0.78,0.77,28.56,0.24,15.38
16,shake,-0.88,0.82,0.75,21.24,-4.82,37.41
17,shake,-0.83,0.79,0.67,18.13,-11.11,66.22
18,shake,-0.77,0.71,0.55,19.65,-16.11,97.84
19,shake,-0.72,0.59,0.42,20.45,-14.89,156.37
20,shake,-0.67,0.44,0.29,17.76,-9.09,179.93
21,shake,-0.60,0.29,0.17,17.03,-0.24,203.06
22,shake,-0.49,0.13,0.06,22.95,11.41,230.65
23,shake,-0.35,-0.06,-0.03,41.99,24.72,265.99
24,shake,-0.16,-0.32,-0.15,76.97,39.31,309.02
25,shake,0.34,-1.00,-0.52,125.55,55.66,356.08
26,shake,0.62,-1.47,-0.77,183.11,76.17,399.41
27,shake,0.88,-2.13,-1.08,232.67,105.96,423.46
28,shake,1.05,-2.93,-1.43,243.41,151.43,404.30
29,shake,1.11,-3.67,-1.61,194.82,219.18,323.55
30,shake,1.10,-4.00,-1.39,89.29,308.59,179.14
31,shake,1.09,-3.86,-0.56,-51.94,400.51,-11.05
32,shake,0.96,-3.11,0.71,-190.80,455.63,-210.88
33,shake,0.65,-1.97,1.91,-288.70,340.70,-494.81
34,shake,0.24,-0.70,2.59,-223.75,223.63,-536.62
35,shake,-0.19,0.56,2.72,-141.11,138.61,-511.35
36,shake,-0.63,1.81,2.62,-87.10,97.60,-434.57
37,shake,-1.10,2.88,2.57,-65.25,80.32,-319.40
38,shake,-1.50,3.47,2.61,-44.98,54.32,-185.18
39,shake,-1.81,3.24,2.39,0.67,7.08,-57.19
40,shake,-1.62,2.77,2.03,63.72,-48.46,48.34
41,shake,-1.31,2.22,1.63,110.84,-95.09,126.95
