timestamp,gesture,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0,wave,-0.93,-0.14,0.33,4.46,6.23,16.42
1,wave,-0.93,-0.14,0.33,2.93,5.25,18.62
2,wave,-0.93,-0.16,0.33,0.06,2.69,22.58
3,wave,-0.93,-0.19,0.32,0.85,1.65,23.13
4,wave,-0.93,-0.21,0.31,2.69,1.40,22.46
5,wave,-0.93,-0.23,0.30,4.15,2.08,21.30
6,wave,-0.93,-0.23,0.30,4.70,2.87,20.20
7,wave,-0.93,-0.23,0.32,5.13,2.56,19.90
8,wave,-0.92,-0.21,0.36,6.84,0.61,20.63
9,wave,-0.91,-0.20,0.35,9.28,-1.95,22.16
10,wave,-0.91,-0.20,0.33,10.62,-3.72,23.99
11,wave,-0.91,-0.20,0.32,10.62,-4.46,25.88
12,wave,-0.91,-0.20,0.30,11.05,-4.52,28.20
13,wave,-0.91,-0.19,0.29,12.94,-4.27,31.43
14,wave,-0.92,-0.18,0.29,14.83,-3.17,35.46
15,wave,-0.92,-0.17,0.29,14.28,0.24,45.04
16,wave,-0.92,-0.18,0.30,13.37,1.16,50.23
17,wave,-0.93,-0.19,0.30,13.55,1.28,55.18
18,wave,-0.93,-0.22,0.31,14.71,0.73,59.27
19,wave,-0.94,-0.26,0.32,15.81,-0.49,61.89
20,wave,-0.94,-0.42,0.33,14.40,-2.20,61.58
21,wave,-0.94,-0.54,0.32,7.39,-4.09,55.73
22,wave,-0.94,-0.65,0.31,-4.15,-6.47,43.88
23,wave,-0.93,-0.73,0.29,-14.04,-9.40,28.69
24,wave,-0.91,-0.78,0.27,-17.46,-12.51,13.43
25,wave,-0.88,-0.86,0.23,-16.24,-14.77,-0.55
26,wave,-0.86,-0.96,0.19,-17.27,-14.89,-15.56
27,wave,-0.84,-1.06,0.20,-24.90,-11.90,-34.18
28,wave,-0.83,-1.15,0.25,-42.79,-2.93,-83.80
29,wave,-0.82,-1.22,0.34,-44.13,-2.08,-113.71
30,wave,-0.78,-1.28,0.43,-41.75,-5.68,-147.28
31,wave,-0.73,-1.32,0.47,-39.67,-12.94,-184.27
32,wave,-0.66,-1.28,0.46,-35.83,-21.42,-220.64
33,wave,-0.50,-1.04,0.39,-26.06,-27.89,-252.32
34,wave,-0.41,-1.00,0.36,-14.10,-30.76,-280.64
35,wave,-0.33,-0.97,0.33,-9.40,-30.52,-311.16
36,wave,-0.25,-0.86,0.32,-12.02,-28.99,-345.09
37,wave,-0.18,-0.69,0.32,-12.27,-27.95,-378.17
38,wave,-0.11,-0.48,0.31,-1.04,-25.82,-433.78
39,wave,-0.04,-0.26,0.30,-3.17,-23.38,-457.82
40,wave,0.02,-0.03,0.33,-13.92,-22.16,-479.43
41,wave,0.07,0.23,0.42,-25.45,-26.92,-494.63
42,wave,0.12,0.54,0.51,-29.11,-39.18,-498.90
43,wave,0.15,0.89,0.56,-24.72,-55.73,-490.05
44,wave,0.14,1.59,0.44,-17.27,-72.08,-468.99
45,wave,0.11,1.85,0.32,-9.83,-85.82,-436.65
46,wave,0.07,2.07,0.19,-2.32,-95.52,-393.49
47,wave,0.04,2.28,0.05,8.06,-101.81,-339.90
48,wave,0.01,2.44,-0.11,23.44,-105.59,-277.47
49,wave,-0.02,2.50,-0.28,39.18,-104.43,-212.04
50,wave,-0.05,2.47,-0.42,46.57,-94.12,-150.21
51,wave,-0.06,2.38,-0.50,24.41,-48.95,-54.02
52,wave,-0.06,2.28,-0.51,3.17,-22.46,-20.39
53,wave,-0.07,2.19,-0.44,-17.03,1.10,7.45
54,wave,-0.09,2.13,-0.34,-34.67,19.90,32.71
55,wave,-0.12,2.07,-0.22,-49.50,34.00,57.19
56,wave,-0.18,1.96,-0.05,-61.28,44.68,82.15
57,wave,-0.21,1.90,-0.00,-69.82,53.77,108.28
58,wave,-0.21,1.85,0.04,-74.46,62.19,136.66
59,wave,-0.20,1.78,0.10,-75.56,69.89,169.37
60,wave,-0.18,1.68,0.18,-73.91,76.60,208.01
61,wave,-0.14,1.56,0.24,-70.19,81.30,252.38
62,wave,-0.09,1.41,0.30,-65.67,83.86,300.54
63,wave,-0.03,1.25,0.34,-60.36,84.66,350.28
64,wave,0.05,1.11,0.38,-33.51,82.70,455.93
65,wave,0.14,0.95,0.42,-8.06,79.59,512.08
66,wave,0.23,0.75,0.43,17.76,75.38,565.00
67,wave,0.30,0.52,0.45,38.94,70.98,611.08
68,wave,0.36,0.30,0.47,58.23,66.35,650.51
69,wave,0.49,-0.13,0.54,79.71,59.45,682.98
70,wave,0.53,-0.34,0.57,101.75,48.03,706.18
71,wave,0.57,-0.52,0.59,117.19,32.17,718.69
72,wave,0.60,-0.69,0.56,122.19,13.61,721.56
73,wave,0.62,-0.82,0.48,121.09,-4.46,717.83
74,wave,0.67,-0.90,0.37,122.44,-20.14,711.55
75,wave,0.72,-0.98,0.26,132.51,-34.48,706.60
76,wave,0.78,-1.07,0.15,152.16,-50.17,703.61
77,wave,0.87,-1.16,-0.01,210.51,-85.51,692.14
78,wave,0.95,-1.28,-0.22,233.28,-97.17,675.11
79,wave,0.99,-1.42,-0.44,239.87,-98.82,645.02
80,wave,1.00,-1.55,-0.58,233.15,-93.08,603.33
81,wave,0.99,-1.67,-0.59,219.54,-86.55,552.55
82,wave,1.01,-2.01,-0.50,199.71,-82.09,491.64
83,wave,0.98,-2.17,-0.48,172.67,-76.54,418.95
84,wave,0.92,-2.29,-0.48,144.59,-70.31,335.63
85,wave,0.90,-2.37,-0.57,122.62,-64.88,244.81
86,wave,0.92,-2.40,-0.68,96.86,-51.15,148.62
87,wave,0.95,-2.35,-0.72,50.60,-27.89,48.16
88,wave,0.98,-2.19,-0.70,-10.07,-2.81,-52.61
